feature_id,MVcon_0,MVcon_10,MVcon_20,MVcon_30,MVcon_40,MVcon_50,MVcon_60,MVcon_70,MVcon_80,MVcon_90,MVcon_100,MVcon_110,MVcon_120,MVdec_0,MVdec_10,MVdec_20,MVdec_30,MVdec_40,MVdec_50,MVdec_60,MVdec_70,MVdec_80,MVdec_90,MVdec_100,MVdec_110,MVdec_120,HTcon_0,HTcon_10,HTcon_20,HTcon_30,HTcon_40,HTcon_50,HTcon_60,HTcon_70,HTcon_80,HTcon_90,HTcon_100,HTcon_110,HTcon_120,HTdec_0,HTdec_10,HTdec_20,HTdec_30,HTdec_40,HTdec_50,HTdec_60,HTdec_70,HTdec_80,HTdec_90,HTdec_100,HTdec_110,HTdec_120,gVol_0,gVol_10,gVol_20,gVol_30,gVol_40,gVol_50,gVol_60,gVol_70,gVol_80,gVol_90,gVol_100,gVol_110,gVol_120,CC_0,CC_10,CC_20,CC_30,CC_40,CC_50,CC_60,CC_70,CC_80,CC_90,CC_100,CC_110,CC_120
21000,0,0.0,0.2,58.0,170.5,292.1,416.2,540.5,654.8,760.8,860.8,941.8,1012.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,8.1,13.4,18.0,22.0,25.4,28.4,31.0,33.3,35.3,37.1,38.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.1,78.9,197.9,328.4,461.9,596.2,721.7,840.3,955.0,1052.6,1139.8,0,4.7,40.7,80.9,88.6,88.8,88.3,87.9,87.4,87.0,86.5,86.0,85.6
23000,0,0.0,22.5,195.4,399.7,624.1,834.9,1027.9,1190.8,1343.1,1475.1,1580.2,1676.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,11.4,18.3,24.2,29.2,33.4,37.0,40.1,42.8,45.2,47.3,49.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,43.3,224.6,441.6,680.0,907.8,1124.4,1315.9,1502.0,1671.9,1815.3,1951.2,0,9.8,77.3,96.1,96.1,95.6,95.1,94.6,94.1,93.6,93.1,92.7,92.2
21001,0,0.0,0.4,57.8,149.4,240.4,334.5,424.6,505.1,577.2,641.8,696.5,748.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,8.7,14.2,18.9,22.8,26.1,28.9,31.3,33.4,35.3,36.9,38.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.9,77.3,174.9,272.9,374.1,471.7,560.6,641.8,716.5,781.8,845.0,0,5.3,48.5,73.0,76.2,76.1,75.7,75.3,74.9,74.5,74.1,73.7,73.4
22001,0,0.0,32.9,196.9,386.1,590.2,770.7,931.7,1073.5,1194.8,1296.7,1382.8,1457.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,12.0,19.2,25.3,30.3,34.5,38.1,41.2,43.8,46.1,48.2,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,55.2,228.2,429.5,646.6,842.7,1023.7,1189.8,1341.2,1477.2,1603.4,1719.1,0,12.7,86.1,95.3,95.1,94.6,94.1,93.7,93.2,92.7,92.2,91.7,91.2
23001,0,0.0,58.5,255.4,486.9,713.0,920.9,1099.4,1250.9,1374.9,1481.0,1568.6,1645.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,13.3,21.2,27.8,33.2,37.8,41.6,44.9,47.8,50.3,52.5,54.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,81.7,290.1,535.0,776.7,1006.5,1213.1,1402.3,1575.6,1735.5,1876.7,2007.5,0,16.1,89.9,95.6,95.1,94.6,94.1,93.7,93.2,92.7,92.2,91.7,91.2
22002,0,0.0,0.0,0.6,19.5,63.1,109.8,155.8,200.0,241.6,281.1,323.4,360.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5.2,8.6,11.7,14.5,16.9,19.0,20.9,22.6,24.2,25.5,26.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,10.3,35.0,80.7,130.9,181.1,229.9,276.1,320.4,368.0,410.7,0,2.0,12.6,35.5,57.3,65.4,67.8,68.3,68.2,67.8,67.5,67.1,66.8
21003,0,0.0,0.0,0.8,22.3,69.7,119.5,168.7,215.8,259.0,303.4,347.5,386.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5.3,8.8,11.9,14.7,17.2,19.4,21.3,23.1,24.6,26.0,27.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1,11.4,38.5,88.0,141.7,195.4,247.3,295.3,344.9,394.6,438.9,0,2.1,13.6,37.9,60.2,68.0,69.9,70.3,70.1,69.8,69.4,69.0,68.7
22003,0,0.0,0.0,18.2,90.6,174.9,261.0,342.9,431.8,509.3,582.2,649.5,712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,6.7,11.2,15.2,18.7,21.7,24.4,26.7,28.8,30.6,32.2,33.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.2,36.0,111.7,202.3,295.3,384.5,481.4,567.0,648.8,725.7,799.0,0,3.1,26.0,64.4,79.4,81.6,81.5,81.1,80.7,80.3,79.8,79.4,79.0
23003,0,0.0,0.5,64.3,173.4,288.4,412.3,526.0,635.6,737.7,823.8,896.1,968.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,8.5,14.1,18.9,23.1,26.6,29.7,32.5,34.8,36.9,38.8,40.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,83.1,199.0,322.2,455.1,578.1,698.8,814.3,915.5,1003.6,1094.5,0,4.4,39.6,73.3,78.2,78.0,77.6,77.2,76.8,76.4,76.0,75.6,75.2
22004,0,0.0,2.3,86.6,208.3,322.9,449.1,563.9,661.4,751.8,828.2,898.8,961.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,9.3,15.1,20.0,24.0,27.4,30.2,32.7,34.8,36.7,38.3,39.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.6,111.8,241.8,365.4,500.5,625.5,733.6,836.2,925.7,1010.8,1087.8,0,8.0,67.7,92.7,94.9,94.6,94.1,93.7,93.2,92.7,92.2,91.7,91.2
22005,0,0.0,7.7,137.8,309.9,496.3,679.3,852.6,1012.4,1140.5,1267.2,1378.8,1475.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,10.0,16.2,21.6,26.2,30.1,33.5,36.4,39.0,41.2,43.2,44.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27.3,164.0,347.4,546.1,742.2,931.9,1112.4,1264.1,1417.9,1560.6,1689.1,0,7.7,65.3,96.3,98.1,97.6,97.1,96.6,96.1,95.6,95.1,94.6,94.1
22006,0,0.0,0.0,0.0,0.0,0.0,0.8,5.8,13.9,23.4,35.9,47.0,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.8,4.4,6.0,7.4,8.8,10.0,11.0,12.0,12.9,13.6,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,1.4,4.5,10.1,17.9,27.3,37.6,51.1,63.3,74.1,0,0.8,2.8,7.4,14.6,23.6,32.9,40.7,46.7,50.4,51.8,52.8,53.7
22007,0,0.0,0.2,48.4,142.4,244.0,347.6,451.4,546.9,635.4,718.9,786.6,845.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,8.1,13.4,18.0,22.0,25.4,28.4,31.0,33.3,35.3,37.1,38.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.4,65.9,165.3,274.2,385.7,497.9,602.7,701.8,797.6,879.1,951.9,0,3.9,34.0,67.6,74.0,74.1,73.8,73.4,73.0,72.6,72.2,71.9,71.5
22008,0,0.0,0.0,0.0,0.0,0.2,2.2,5.7,11.1,16.9,22.1,27.5,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,1.5,2.1,2.6,3.0,3.5,3.8,4.2,4.5,4.7,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.1,4.1,10.2,18.9,31.4,46.2,61.5,75.6,90.1,103.0,0,2.3,7.4,16.4,26.5,36.2,44.4,50.5,54.6,57.2,59.3,60.3,61.0
